"","rev.date","rev.sum","rev.rating","rev.title","rev.pros","rev.cons","rev.helpf","rev.id","rev.year","rev.pos","rev.loc","rev.stat"
"11"," Aug 11, 2008","""At Dow Jones one can feel like an outsider if not well connected, resulting in a lack of fairly deserved promotions.""","4.0","Current Employee - Inside Sales in Monmouth Junction, NJ","Flexible work schedule, Ability to learn new things, nice people, great name recognition and prestige, good benefit package.","Pay could be better based on previous experience and education, caste system based on the department you work for, some senior management appear to be aloof/out of touch with the average worker, unfair promotion practices.",1,11,2008,"Inside Sales","Monmouth Junction, NJ","Current"
"12"," Aug 11, 2008","""Dow Jones""","3.0","Current Employee - Sales in New York, NY","the name on the resume, great friendships, actually really good employees other than upper management.","very hard to get a promotion or move anywhere within the company. Upper Management does not recognize anything you do. Everyone is at different salarys depending how long they have been with the company. There is no fair game. The only way to move anywhere is if you are friends with upper management or you have been there over 5 years.",0,12,2008,"Sales","New York, NY","Current"
"13"," Aug 18, 2008","""It is what you make it..and fight for.""","4.0","Current Employee - Anonymous Employee in Princeton, NJ","Great benefits, fairly decent holiday allowance, ability to meeting people from around the world if you choose to, room for movement if you network and perform well.","Union, unfair promotions/titles awarded, pay scales at time - varies by position/level within org.",0,13,2008,"Anonymous Employee","Princeton, NJ","Current"
"14"," Aug 20, 2008","""Good Company for starting a career""","3.0","Former Employee - Database Statistician in Princeton, NJ","Great Name for those wanting to be in either the news or finance industry. Very good benefits to put off the low pay for Union employees. Good people","Union firm with a set pay scale until you get a one of the few non-union position, Union is useless, boring at times",0,14,2008,"Database Statistician","Princeton, NJ","Former"
"15"," Sep 7, 2008","""Don't Believe the Hype""","1.0","Current Employee - Anonymous Employee in San Francisco, CA","The Dow Jones name looks great on a resume.","Not a vibrant or interesting place to work. The pay is low if you're not in sales. The culture is very youth oriented.",1,15,2008,"Anonymous Employee","San Francisco, CA","Current"
"16"," Sep 9, 2008","""Lots of wasted potential""","2.0","Current Employee - Reporter","Internationally recognized brand name. Potential for improvement under new owner. Reasonable benefits. Some very nice and talented colleagues.","Too many line managers preoccupied with protecting their own turf and covering up their own inadequacies rather than realizing the massive potential of the journalistic staff. Management's dehumanizing, morale-busting communication style. Fake newsbeats that extol mediocrity rather than genuine reporting (see turf protection). An emphasis on quantity of output over quality.",1,16,2008,"Reporter","Not Given","Current"
"17"," Sep 16, 2008","""What is it that we are trying to accomplish?""","3.0","Current Employee - Team Leader in Princeton, NJ","The company is well-known and respected within the industry. I get great pride when I meet people outside of the company and tell them that I work for the Wall Street Journal. Although the newspaper industry is in a mature stage, this publication stands head and shoulders above its competitors. I constantly receive positive responses from others when informed who I work for.I also admire and respect the vision and goals outlined for the corporation as a whole. I believe that, if successful, the company will be on the forefront and leader in our industry. These are turbulent times that we are currently facing, but I believe that the vision outlined by Senior Management will put the company back on the right path towards prosperity.","Although the vision and goals handed down from Senior Management seem to be thoroughly thought out and designed, there is still some uncertainty concerning the ""common employee's"" employment status as well as career growth. The publishing industry is currently in a mature stage and the company is struggling trying to revise it.There also appears to be a huge disconnect and misalignment between corporate goals and departmental goals. Corporately, the company is investing resources that will launch it into the digital age, but in certain (if not most) departments, the company is still employing cost-cutting initiatives from several years ago that has (in certain cases) proven to be ineffective, if not detrimental to company survival. Although promised by certain mid-level management, we have now reached the point where the company has cut down to the bone. My main fear is that these recent initiatives are non-rectifying and would place the company in a negative limelight that would be the topic of business schools for years to come.",1,17,2008,"Team Leader","Princeton, NJ","Current"
"18"," Sep 24, 2008","""Great place to work and develop a career""","5.0","Current Employee - Project Manager in New York, NY","Great brands, great people and great culture. People work very hard and take pride in creating some of the best products in the media industry.","Tough industry. Because the growth is flat in the core newspaper industry, it takes the wind out of some growth efforts - i.e., two steps forward, one and half steps back. The company is working hard to change that dynamic by investing in new areas, new products and the faster growing digital parts of the business, but it takes time.",0,18,2008,"Project Manager","New York, NY","Current"
"19"," Oct 4, 2008","""A good place to work, but you have to really work the system to get ahead""","3.0","Current Employee - Administration in Monmouth Junction, NJ","Great brand, excellent benefits, decent opportunities to grow. The broad range of products and services makes it a good place to work if you want opportunities for varied assignments. We've got outstanding technology in most areas to make it easier to do our jobs","Some of our systems are ancient and counterproductive. Most of our managers are not equipped to be good managers and there seems little accountability on managers to do a good job evaluating and developing people. Career growth and opportunities are there, but you have to really work the system to get ahead. Simply showing up and doing a good job are not enough.",1,19,2008,"Administration","Monmouth Junction, NJ","Current"
"20"," Oct 8, 2008","""Dow Jones - where careers and ambitions go to die""","2.0","Current Employee - Reporter in Jersey City, NJ","A regular salary. Adequate if not outstanding benefits packages too. Fewer and less stringent editorial straitjackets than in some other media organizations.","Almost complete absence of even lateral job mobility, let alone upward mobility. You can stagnate in the same position and the same, unrelieved tedious routine for years, if you don't speak up. And if you do speak up, chances are it will be seen as insolence and insubordination by some fat cat martinet of a manager. Also increasing bureaucratization and pointless red tape following the News Corp. takeover last year.",2,20,2008,"Reporter","Jersey City, NJ","Current"
"21"," Oct 22, 2008","""Low morale, incompetent employees, lack of strategic direction, constant turmoil""","1.0","Former Employee - Circulation Marketing Manager in Princeton, NJ","I have nothing positive to say about the place.","Low morale, incompetent employees, lack of strategic direction, constant turmoil",3,21,2008,"Circulation Marketing Manager","Princeton, NJ","Former"
"22"," Oct 24, 2008","""could be worse""","2.0","Former Employee - Project Manager in New York, NY","if you're looking for the benefits and just a job, it's probably good for you. people love to meet and talk rather than getting things done. used to be pretty safe job security (you will be part of a union!), though this will probably change.","everyone tells you why you won't be successful with an new idea or improvement, lots of covering you ***, internal politics, it's about who you're friends with and only small extent what you contribute. you have to manage up and find out who the power players are. doing a great job will be enough to keep it (and maybe not even that anymore), but won't get you ahead.",0,22,2008,"Project Manager","New York, NY","Former"
"23"," Oct 28, 2008","""Great brand but needs to wake up to 21st century -- hope Rupert can inject $$ and high-tech savvy.""","3.0","Former Employee - Sales","Great brand, opens doors. Still has the cachet that impresses whether getting deals done or using the name to move ahead to your next company.","Can get stale and isolated resting on laurels. A bit old-school. You can lose your fastball if you stay too long.",0,23,2008,"Sales","Not Given","Former"
"24"," Nov 10, 2008","""Great company, great work environment, great benefits, so-so pay.""","4.0","Current Employee - Anonymous Employee","Benefits are very generous, vacation policy excellent. Great recognizable brand, even though many people have no idea what we actually do. People hear Dow Jones and think stock market, for better or worse. The name cachet also helps greatly in that interview for your next job. ""I see you worked for Dow Jones..? Any stocks I should buy now?""","Pay is less competitive than similar jobs, probably a pay cut due to working for a bigger, more well known company with good job stability. But still.",0,24,2008,"Anonymous Employee","Not Given","Current"
"25"," Nov 22, 2008","""a good business journalism company""","4.0","Current Employee - Anonymous Employee","among the best at covering business news","hours, but that comes with any journalism job",0,25,2008,"Anonymous Employee","Not Given","Current"
"26"," Jan 2, 2009","""Learn, show pride in your work but move on when the time comes.""","2.0","Former Employee - Enterprise Operations Center Analyst in Princeton, NJ","Benefits, really that is the only reason to work there. Being a well known brand it helps a lot on the resume but as far as careers go you won't move much.","Static pay, yes you get 3% increases for inflation but as far as sticking anywhere close to the average they will fall short. Management is large and few have an understanding of what functions their departments or groups actually do. Often, especially in IT, you'll find out what is going on via rumors or indirect statements from others well before your management addresses it. Morale is lagging and has been for years making it gradually more difficult for people who produce to remain for longer periods of time.",1,26,2009,"Enterprise Operations Center Analyst","Princeton, NJ","Former"
"27"," Jan 5, 2009","""Great place to work. Salaries .... ehhh.""","5.0","Current Employee - Reporter in New York, NY","The brand. The name ""Wall Street Journal"" gets your foot in the door just about anywhere on the globe, particularly in financial centers. Good benefits for health coverage and a fairly generous 401(k) matching scheme and a money-purchase plan.","Salaries. They are sharply lower than one might expect of the premiere newspaper brand in the world. Colleagues who flee for the NYTimes, Bloomber and other major news outlets, as well as financially oriented PR firms, are earning gobs more. Personal friends are often shocked at my level of pay, given the prestige the WSJ commands.",0,27,2009,"Reporter","New York, NY","Current"
"28"," Jan 6, 2009","""Great company, could do better""","4.0","Current Employee - Anonymous Employee","Overall Dow Jones is one of the best places to work if you're a business journalist. It takes journalism seriously and is committed to doing it properly, which is an increasingly scarce commodity these days. It is exposed both to new media and old media and therefore much better hedged against the meltdown in traditional media, and is part of a big media company which is almost certainly going to survive the recession. Also it offers lots of opportunities to travel and work abroad.","The news production technology is antediluvian and there is a tendency towards bureaucratic corporate thinking and risk aversion in journalistic decisions which means we can miss the opportunity to do ground-breaking work, although that's changing. Our web presence still leaves a lot to be desired. For historical and prestige reasons relationship between the Wall Street Journal and other parts of the journalistic empire is massively skewed in the WSJ's favor which makes life pretty tough for those of us not treading those hallowed portals, in terms of recognition, although the wires are increasingly economically important. Our customers and sources increasingly don't understand what the Journal does and what the newswires do and the management hasn't moved fast enough to make this distinction clear in their minds. Benefits are pretty good but the pay isn't at the top of the scale.",0,28,2009,"Anonymous Employee","Not Given","Current"
"29"," Jan 29, 2009","""A good, but not great, place to work.""","4.0","Current Employee - Senior Marketing Manager","Peers tend to be bright, interesting people. Good collegial atmosphere. Although benefits have been eroding over time, they are still very competetive. As anywhere, leadership sets the tone. If you are fortunate to be in an innovative area (or able to create an innovative team), opportunities exist to do some interesting and exciting things.","Biggest downside is practise of hiring into the most senior positions from the outside rather than cultivating, grooming, and promoting talent from within. Largest industry, newspaper publishing, is a declining business, so the company must change, shrink, or both.",1,29,2009,"Senior Marketing Manager","Not Given","Current"
"30"," Feb 10, 2009","""Dow Jones is the one place any person should definitely take a look at when it comes to happy employment opportunities""","4.0","Current Employee - Applications Architect in Minneapolis, MN","The flexibility allowed at dow jones and its benefits packages Rock! Considering after 7 years you get 5 weeks total and 6 personal days on top of that. The knowledge sharing is also top notch and I have learned a lot in my field as far as new technologies and innovation.","Sometimes beaurocracy can get in the way of progress and buttons have to be pushed quite a bit to get things done.",0,30,2009,"Applications Architect","Minneapolis, MN","Current"
"31"," Feb 15, 2009","""Revamp Senior Management""","1.0","Former Employee - Advertising Publishing Administration Senior in Orlando, FL","Dow Jones used to be a wonderful place to work until approx 2 years ago.","Senior Management is clueless as to what the customers needs are in conjunction with the worked entailed to get the optimal finished product.",0,31,2009,"Advertising Publishing Administration Senior","Orlando, FL","Former"
"32"," Mar 9, 2009","""I've done my time, it's time to move on.""","3.0","Current Employee - Research Assistant / Database Statistician in Princeton Junction, Mercer, NJ","Dow Jones has a few positives that may lure recent graduates in seeking employment. The company has one of the easiest interview processes I have a ever seen. It was extremely casual and the overall vibe was very friendly. Dow Jones also provides very nice benefits and retirement packages for new employees. Profit sharing and company contribution to tax deferred investment plans are quite generous. In addition, work hours for entry level candidates are restricted to union contracts which allow low-end employees to collect overtime pay.","Unfortunately, Dow Jones has many downsides. Compensation is extremely low compared to industry standards. In addition, there are very few opportunities for growth within the company. Dow Jones is extremely micro managed and all the positions are filled by young middle managers and directors all clinging to their positions. Movement from your group is greatly frowned upon which makes it difficult for young professional to find their niche. Dow Jones also lacks diversity on their financial services. ""Database statisticians"" as they call them, are nothing but data drones that are completely hindered by management and will not find the opportunity to become true analysts. In final, the overall atmosphere can be quite high school. There's a lack of communication on true business practices but there is plenty of gossip which floats around the office. Unfortunately, morale is so low that solid employees tend to wander out of the company instead of being promoted.",0,32,2009,"Research Assistant / Database Statistician","Princeton Junction, Mercer, NJ","Current"
"33"," Mar 28, 2009","""Dow Jones - an evolving media company...come along for the ride""","4.0","Current Employee - Finance in Monmouth Junction, NJ","Great brand with a lot of integrity. Lots of very dedicated and hard working indviduals. It is an evolving media company with big backing from thier new owners - News Corp. benefits are excellent and wide ranging - generous health care, dental, defined contribution plans such as 401ks and money purchase plans. On campus work out facilities and cafetaria are subsidized.Senior management is basically all new and is open to hearing ideas on how to improve the company, improve the quality of the product, drive revenue and reduce costs and waste.Access to the enterprise wide assets of news corp can only lead to great things for DJ","Newspaper side of the business is under tremendous pressure - much like all other newspaper companies due to the declining revenue from advertising. This has led to some significant cost reduction efforts across all the DJ properties. The company operates in a pretty lean manner as it is today and therefore most people who work for Dow Jones have to wear many hats and do not have the capacity to focus on some of the big items that need to be addressed. This will only ge worse as top line revenue pressure for all media companies continues to be under expectations.",0,33,2009,"Finance","Monmouth Junction, NJ","Current"
"34"," Mar 29, 2009","""Good company for resume but not for job growth""","3.0","Current Employee - Marketing Manager in New York, NY","Having the Dow Jones name on my resume.","Salaries are below par and not good. You only advance based on who you know not your qualifications.Management will only point out things that you can improve and never says a good word for doing a good job. Low morale, career advancement is a joke, especially if you work remotely.Tons of red tape and processes stay in the way of being innovative. Overall, there salaries are very low compared to other companies, and they barely adjust for inflation.",2,34,2009,"Marketing Manager","New York, NY","Current"
"35"," Apr 12, 2009","""Tolles Unternehmen, aber immer noch sehr auf die USA ausgerichtet, Entscheidungsprozesse von der Presse abhängig!""","4.0","Current Employee - Director","Große Marke, Internationales Unternehmen, Hochwertige Produkte","US-orientiertes Unternehmen, Technologiekompetenz könnt e höher sein, weniger Gewicht auf WSJ",0,35,2009,"Director","Not Given","Current"
"36"," May 19, 2009","""So much potential...""","3.0","Former Employee - Anonymous Employee","It's a relatively small company that happens to be part of a global giant (News Corp.). The brand is instantly recognizable by virtually everyone and carries a lot of weight. The company specializes in helping others make good, well-informed business decisions and has a fairly decent record of doing exactly that. For example, when the rest of the newspaper publishing industry drank the Koolaid of free access to their content on the web, Dow Jones sold subscriptions to the online edition of The Wall Street Journal. Now, all the major newspaper companies are barely hanging on and trying to figure out how to go back and charge for their content while Dow Jones has made millions and millions of dollars.The benefits are incredible compared to other organizations. Many of the positions (even white collar and sales, but not management) are union. Health insurance is pretty comprehensive with excellent Rx coverage and it is heavily subsidized by the company. The retirement plan is very nice, too, with both 401(k) and money purchase pans for union employees. There is an honor system for sick days (no specified limit) and three weeks of vacation your first full year.Dow Jones is much more than a newspaper company - it is a vital part of the US and world economy.","Some of the management seem to be adrift. While there are many good people with solid leadership skills, there are too many in the company that are lacking. Like most organizations, politics is rampant and pervasive. It is also a very plain, ""vanilla"" company and not even remotely sexy. The company is organized into three silos - Enterprise Media Group, Consumer Media Group and Local Media Group. There is confusion and tension where these three groups overlap and the dividing lines are not well-considered in some areas. While the union plays a positive role in the benefits area, it is largely ineffectual in protecting workers. In many respects the union makes life more difficult because it diminishes the effects of meritocracy and forces management to make staffing decisions that are convoluted and based on criteria other than competency and results.",2,36,2009,"Anonymous Employee","Not Given","Former"
"37"," Jul 20, 2009","""Decent place to work""","4.0","Current Employee - Market Data Analyst","Laid back atmosphereAllows a good balance of work and personal lifeWorldwide locationsGood reputation and well-known in its industry","Salaries tend to be on the lower end of the industry scaleRevenue dependent on newspaper subscriptions which is a dwindling business",1,37,2009,"Market Data Analyst","Not Given","Current"
"38"," Sep 22, 2009","""Overall a great workplace prior to News Corp""","4.0","Former Employee - Anonymous Employee","Agile environment, flexible, great tools to get the job done.","Not a lot of cohesion between the different business units.",1,38,2009,"Anonymous Employee","Not Given","Former"
"39"," Sep 26, 2009","""Dow Jones, Wall Street Journal""","2.0","Former Employee - Anonymous Employee","Good brand name, will help with future job search in Media industry. Everyone has heard of the Dow Jones either due to the Dow, or to the Wall Street Journal.","Not a culture oriented toward development of its employees. If you want to try new things, meet other people throughout the company, or have a rich learning experience, you're on your own because the company doesn't dedicate resources to helping educate or develop its people- even manager level people-- as some other major media companies do.",1,39,2009,"Anonymous Employee","Not Given","Former"
"40"," Oct 12, 2009","""Not An Industry Leader""","3.0","Former Employee - Anonymous Employee in New York, NY","People are generally nice, if you are a reporter you can get your storiesinto the Wall St Journal which is something everyone strives for.","Definitely the least of the three major business wire services, both in terms of pay, satisfaction and leadership within the industry. Important people do not talk to DJN.",1,40,2009,"Anonymous Employee","New York, NY","Former"
"41"," Jan 12, 2010","""Used to be a great place...""","2.0","Former Employee - Systems Administrator in Princeton, NJ","Work/Family Balance is good (still mostly). The few remaining 'old school' managers treat people really well.Benefits are still good but have become mainstream for a company of it's size.","Most of management at Director level and above is fairly new and seem to be more interested in their own career advancement than making the company and everyone in it a true success.Have outsourced nearly 2/3's of IT department to India and still cannot stop bleeding money.",0,41,2010,"Systems Administrator","Princeton, NJ","Former"
"42"," Feb 15, 2010","""Nice Place To Work""","4.0","Former Employee - Anonymous Employee in New York, NY","Collegial atmosphere. Definitely a place you can ""grow"" your job into a better position. Good technical tools and support. Excellent product image and quality. The purchase by News Corp has given the company a true global footprint.","Frequent management and product name changes of late. It's confusing to customers and employees.",0,42,2010,"Anonymous Employee","New York, NY","Former"
"43"," Mar 11, 2010","""Incompetent managers""","1.0","Current Employee - Reporter in New York, NY","Brand value: You're affiliated with the Wall Street Journal. As a reporter, that means your sources likely return your calls sooner rather than later.","Incompetent, vindictive mid-level management. The editor of my group has no people skills, not to mention 0 knowledge for the subject matter covered by the publication.",4,43,2010,"Reporter","New York, NY","Current"
"44"," Mar 19, 2010","""Working in a shrinking market has its pitfalls.""","3.0","Former Employee - Systems Support Specialist","Pay is competetive, benefits are good, vacation and sick leave are generous. However, everything is subject to change as the newspaper industry shrinks and union contracts are negotiated.","They have out-sourced printing and thereby lost control of quality and production schedule. They have eliminated the positions of much of their support talent.",0,44,2010,"Systems Support Specialist","Not Given","Former"
"45"," Mar 23, 2010","""Used to be a great place to work""","3.0","Current Employee - Director in Princeton, NJ","I love the fact that there are flexible work hours and you can work from home when you need to (depends on the role). The benefits are pretty decent and having been here forever, I have 6 weeks vacation. Talk about golden handcuffs!","It's gotten extremely bureaucratic to the point that sometimes you wonder how we get anything done. We like to think we are nimble organization but some days we are far from it.",1,45,2010,"Director","Princeton, NJ","Current"
"46"," Apr 5, 2010","""Downer Jones""","2.0","Current Employee - Senior Account Executive in San Francisco, CA","I guess its a well known brand name to have on your resume. They are respectful of people's personal time requirements. Decent benefits.","Total incompetence form the top down. Bad place to work as a salesperson because they have no processes. Re-org'ed many times while I was there.",1,46,2010,"Senior Account Executive","San Francisco, CA","Current"
"47"," Apr 11, 2010","""DJ""","3.0","Former Employee - Director","Good name to work for and the people where historically great to work with. It also had lots of integrity and was trusted, especially before the Murdoch takeover (fox news!).","Lots of uncertainty and increased bureacracy since Newscorp bought the company. Personally, I could not tolerate being associated with fox news, news of the world etc any longer.",0,47,2010,"Director","Not Given","Former"
"48"," Apr 12, 2010","""Little known room for growth""","3.0","Current Employee - Research Analyst in Princeton, NJ","Lots of vacation and good benefits package. Young working environment with a lot of peers to relate to. Only required to work 35 hour work weeks as opposed to the usual minimum of 40 hours a week.","No room for growth. Promotions are not based around any set criteria and given arbitrarily by senior management. No performance raises or even much praise for a job well done.",1,48,2010,"Research Analyst","Princeton, NJ","Current"
"49"," Apr 13, 2010","""Average""","3.0","Former Employee - Database Statistician","Flexible schedule, laid back work environment, low pressure, young staff.","Pay isn't competitive, promotions are not a consistent process and vary day to day month to month, doesn't have a finance job atmosphere, underqualified staff, feels like high school sometimes, Union stiffles growth because everyone receives the same pay at a certain level regardless of how hard they work.",1,49,2010,"Database Statistician","Not Given","Former"
"50"," May 4, 2010","""News Corp has improved the place""","3.0","Current Employee - Vice President in New York, NY","High quality products make people proud to be associated with them. There are people there who genuinely want to get things done.","Current matrixed environment makes it hard to get things done. Confusion about who does what and who controlls the purse strings.",0,50,2010,"Vice President","New York, NY","Current"
"51"," May 15, 2010","""Dow Jones & Co., Inc. - All Things That Glitter Are Not Gold""","1.0","Current Employee - Anonymous Employee","Great CompensationDecent Benefits PackageNice vacation package","No employee developmentNo opportunity for growthNo life/work balanceNo free sharing of informationPoor management skills from those in management positions",1,51,2010,"Anonymous Employee","Not Given","Current"
"52"," Jun 21, 2010","""Its okay...for a while""","3.0","Current Employee - Anonymous Employee","Good BenefitsLaid Back EnvironmentAutonomy in setting schedulegood work life balancetelecommutingglobal teampart of the News Corp. family","not great senior managementtoo many re-orgs with little directionno connection with rest of news corp. familylittle mobility",0,52,2010,"Anonymous Employee","Not Given","Current"
"53"," Jul 27, 2010","""Sounds better than it is""","3.0","Former Employee - Anonymous Employee","work life balancebrand recognitionbenefitsmany good peopleNewscorp ownership","lack of leadershiplack of clear directionbureaucraticbusy work",2,53,2010,"Anonymous Employee","Not Given","Former"
"54"," Jul 31, 2010","""Dow Jones - great brand name - but re-org and product and group name changes are a semi-annual avent.""","3.0","Current Employee - Anonymous Employee","Flexibility, brand name, good rank and file people.","Constant re-orgs / product, group, and title name changes. All middle and most upper mgmt are clueless. This is supposed to be a financially geared co and most of mgmt has never traded a stamp. Be sure you are prepared to stay in job you are hired for - cause this firm is all about politics and butt kissing.",2,54,2010,"Anonymous Employee","Not Given","Current"
"55"," Aug 2, 2010","""Good first job out of college""","4.0","Former Employee - Senior News Indexer in Princeton Junction, Mercer, NJ","Set work hoursGood training providedDefinite pay scalesTime off requests usually grantedAbilitiy to switch teamsManagers are fair, even-keeled","Pay is definite - poorer performers are paid equally due to unionWork is wooden, not much room for innovation, personal input",1,55,2010,"Senior News Indexer","Princeton Junction, Mercer, NJ","Former"
"56"," Aug 3, 2010","""Union Shop""","2.0","Former Employee - Anonymous Employee","Great benefitsNice locations with good facilitiesGood gym","You are forced to join the union and pay dues. Nothing is based on your own performance so there's no incentive for people to work hard.",0,56,2010,"Anonymous Employee","Not Given","Former"
"57"," Aug 31, 2010","""Dow Jones needs vision and leadership""","3.0","Current Employee - Anonymous Employee","Smart peopleGreat brand recognitionGood products","Constant reorganizationsSenior management not focused on strategy for the futureFocused only on monthly forecasts",0,57,2010,"Anonymous Employee","Not Given","Current"
"58"," Sep 8, 2010","""Dinosaur that doesn't want to admit the asteroid is on its way.""","2.0","Current Employee - Anonymous, Client-facing in New York, NY","Friendly. Generally bright people. Easy going. Union-common-denominator means no one works that hard (wait///that's not really a positive, is it). BRAND is a huge asset. Some publishing platforms and technologies built 15-20 years ago were so good, so sound, so ahead of their time that rest of the industry is still trying to keep up.","The DJ brand reached a high water mark a long time ago. But publishing (electronic or no) moves slowly, so jargon, politics, and constant reorging masquerade as leadership and strategy. Bureacracy is metastasizing, management bathes in self-congratulation, and the strategists live a Dilbertesque sense of what matters in the marketplace.DJ jealously guards the Holy Grail--the WSJ. Petty power grabs, sensless land squabbles, and pointless town meetings often eat up the time and energy some hoped to use to improve the company and their fortunes. if News Corp can clearly justify to stockholders that the WSJ sustains itself, the rest of Dow Jones may be in serious danger.",2,58,2010,"Anonymous, Client-facing","New York, NY","Current"
"59"," Sep 27, 2010","""Dow Jones, nowhere to go""","2.0","Current Employee - Anonymous Employee","Its a steady place to work.","No promotions, little raises and outsourcing everything.",1,59,2010,"Anonymous Employee","Not Given","Current"
